fighter_id,fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birth_month,birth_day,birth_year,bouts,wins,losses,draw_nc,winning_pct,strike_throughput,offense_vol,brawler_rating
2951,Sean Sherk,66.0,155.0,67.0,Orthodox,2.17,35.0,2.71,55.0,4.09,46.0,56.0,0.4,8.0,5.0,1973.0,12,8,4,0,0.6666666666666666,4.88,5.263760683760683,1.5931550342298288
2952,Antonina Shevchenko,68.0,125.0,67.0,Southpaw,4.09,56.0,2.51,54.0,0.65,60.0,56.0,0.7,11.0,20.0,1984.0,5,3,2,0,0.6,6.6,6.715384615384615,10.853847153846152
2954,Valentina Shevchenko,65.0,125.0,66.0,Southpaw,2.98,50.0,2.03,62.0,2.21,58.0,75.0,0.3,3.0,7.0,1988.0,11,9,2,0,0.8181818181818182,5.01,5.224529914529914,2.566969325791855
2955,Shunichi Shimizu,65.0,135.0,66.67629988489773,Orthodox,0.14,33.0,4.68,30.0,0.0,0.0,0.0,0.0,1.0,31.0,1985.0,1,0,1,0,0.0,4.819999999999999,4.819999999999999,inf
2956,Jake Shields,72.0,170.0,72.0,Orthodox,2.45,36.0,1.8,56.0,2.83,29.0,35.0,1.2,1.0,9.0,1979.0,8,4,3,1,0.5,4.25,4.594444444444444,2.701767784452297
2957,Wade Shipp,75.0,245.0,77.799792974138,Orthodox,4.29,86.0,2.14,0.0,0.0,0.0,75.0,0.0,2.0,9.0,1975.0,1,0,1,0,0.0,6.43,6.43,inf
2962,Josh Shockley,73.0,155.0,74.38023816507189,Orthodox,1.4,33.0,1.75,60.0,0.0,0.0,61.0,0.8,11.0,15.0,1989.0,2,0,2,0,0.0,3.15,3.2183760683760685,inf
2963,Josh Shockman,76.0,235.0,78.54314257695056,Southpaw,0.87,32.0,0.87,58.0,0.0,0.0,23.0,0.0,12.0,29.0,1980.0,1,0,1,0,0.0,1.74,1.74,inf
2964,Jack Shore,68.0,135.0,71.0,Orthodox,3.69,54.0,0.59,76.0,5.16,46.0,0.0,1.5,2.0,6.0,1995.0,2,2,0,0,1.0,4.28,4.84923076923077,2.3294583643410856
2971,Sam Sicilia,68.0,145.0,67.0,Orthodox,2.46,33.0,3.55,59.0,1.45,43.0,70.0,0.9,2.0,1.0,1986.0,12,5,7,0,0.4166666666666667,6.01,6.2108547008547,5.044828586206897
2972,Steven Siler,71.0,145.0,70.0,Orthodox,3.21,41.0,2.96,54.0,0.47,21.0,55.0,1.6,2.0,15.0,1987.0,9,5,4,0,0.5555555555555556,6.17,6.346923076923077,14.727660574468084
2974,Assuerio Silva,70.0,241.0,73.1341885729314,Orthodox,1.42,46.0,4.2,54.0,2.66,34.0,25.0,1.8,6.0,18.0,1974.0,3,0,3,0,0.0,5.62,6.001196581196582,3.912782954887218
2976,Thiago Silva,74.0,205.0,74.0,Orthodox,3.92,50.0,2.55,67.0,1.03,47.0,70.0,0.7,11.0,12.0,1982.0,12,7,3,2,0.5833333333333334,6.47,6.617863247863247,6.981554398058252
2980,Anderson Silva,74.0,185.0,77.0,Southpaw,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,4.0,14.0,1975.0,25,17,7,1,0.68,5.1,5.21111111111111,11.000001
2981,Wanderlei Silva,71.0,205.0,74.0,Orthodox,2.79,40.0,2.19,60.0,0.97,53.0,62.0,0.6,7.0,3.0,1976.0,12,5,7,0,0.4166666666666667,4.98,5.114188034188034,5.734021618556701
2985,Leandro Silva,69.0,155.0,72.0,Orthodox,2.39,48.0,2.08,63.0,1.76,37.0,65.0,0.4,11.0,11.0,1985.0,8,3,4,1,0.375,4.470000000000001,4.6546153846153855,2.9397737272727276
2986,Claudio Silva,71.0,170.0,71.0,Southpaw,3.14,42.0,3.12,43.0,3.01,28.0,66.0,1.6,9.0,6.0,1982.0,6,5,1,0,0.8333333333333334,6.26,6.654017094017094,3.6797352192691033
2987,Wagner Silva,72.0,170.0,73.72474563514301,Orthodox,1.69,29.0,2.87,65.0,0.0,0.0,58.0,0.0,2.0,7.0,1987.0,2,0,2,0,0.0,4.5600000000000005,4.5600000000000005,inf
2988,Antonio Silva,76.0,264.0,82.0,Orthodox,2.89,45.0,3.09,50.0,0.82,29.0,66.0,0.8,9.0,14.0,1979.0,11,3,7,1,0.2727272727272727,5.98,6.118461538461538,8.092683926829269
2989,Erick Silva,72.0,170.0,74.0,Orthodox,2.5,48.0,4.18,49.0,0.85,35.0,56.0,1.4,6.0,21.0,1984.0,15,7,8,0,0.4666666666666667,6.68,6.872307692307691,9.258824529411763
2991,Joaquim Silva,68.0,155.0,69.0,Southpaw,3.92,37.0,4.43,56.0,0.24,50.0,64.0,0.7,2.0,5.0,1989.0,6,4,2,0,0.6666666666666666,8.35,8.43034188034188,35.491667666666665
2992,Felipe Silva,72.0,155.0,77.0,Orthodox,5.4,50.0,1.8,59.0,1.0,100.0,71.0,0.0,5.0,8.0,1984.0,3,1,2,0,0.3333333333333333,7.2,7.285470085470085,7.200001
2995,Gabriel Silva,66.0,135.0,71.0,Orthodox,1.3,34.0,3.47,45.0,1.5,25.0,38.0,0.5,8.0,26.0,1994.0,2,0,2,0,0.0,4.7700000000000005,4.940940170940172,3.6800010000000003
2996,Bruno Silva,72.0,185.0,73.98831685379405,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,1989.0,4,1,2,1,0.25,0.0,0.0,
2998,Douglas Silva de Andrade,67.0,145.0,68.0,Orthodox,3.77,38.0,4.26,58.0,0.7,50.0,66.0,0.0,6.0,22.0,1985.0,8,4,4,0,0.5,8.03,8.089829059829059,11.47142957142857
3001,Jamey Simmons,66.0,145.0,70.0,Orthodox,0.52,50.0,2.08,50.0,0.0,0.0,100.0,0.0,9.0,11.0,1992.0,1,0,1,0,0.0,2.6,2.6,inf
3002,Elias Silverio,71.0,155.0,73.0,Orthodox,3.67,49.0,2.97,51.0,1.62,38.0,85.0,0.2,9.0,22.0,1986.0,5,3,2,0,0.6,6.640000000000001,6.7955555555555565,4.298766432098766
3003,Aaron Simpson,72.0,170.0,73.0,Orthodox,3.6,52.0,2.53,56.0,3.78,34.0,83.0,0.5,7.0,20.0,1974.0,11,7,4,0,0.6363636363636364,6.13,6.495811965811965,2.121694121693122
3004,Ricky Simon,66.0,135.0,69.0,Orthodox,3.08,42.0,3.13,64.0,6.93,54.0,72.0,0.4,8.0,31.0,1992.0,8,6,2,0,0.75,6.21,6.836495726495726,1.2961048961038961
3005,Wes Sims,82.0,260.0,84.49681043284855,Orthodox,0.98,51.0,2.95,37.0,0.0,0.0,40.0,2.3,8.0,4.0,1979.0,3,0,3,0,0.0,3.93,4.1265811965811965,inf
3007,Tony Sims,71.0,155.0,70.0,Southpaw,1.81,63.0,0.76,65.0,0.71,50.0,50.0,0.7,10.0,14.0,1985.0,3,1,2,0,0.3333333333333333,2.5700000000000003,2.6905128205128204,4.319719309859155
3008,Lodune Sincaid,69.0,185.0,71.23112560805424,Orthodox,2.72,42.0,6.17,57.0,0.0,0.0,75.0,0.0,5.0,7.0,1973.0,1,0,1,0,0.0,8.89,8.89,inf
3011,Elvis Sinosic,75.0,205.0,77.0,Orthodox,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2,2.0,13.0,1971.0,7,1,6,0,0.14285714285714285,5.7299999999999995,5.832564102564102,inf
3013,Rory Singer,74.0,185.0,77.0,Orthodox,2.55,39.0,2.42,63.0,0.39,25.0,64.0,0.8,5.0,28.0,1976.0,4,2,2,0,0.5,4.97,5.071709401709401,13.543590743589743
3017,Dennis Siver,66.0,145.0,70.0,Orthodox,3.87,32.0,2.67,65.0,0.87,32.0,65.0,0.3,1.0,13.0,1979.0,21,12,8,1,0.5714285714285714,6.54,6.64,7.817242379310345
3018,Chas Skelly,71.0,145.0,72.0,Orthodox,2.02,40.0,3.35,48.0,1.71,34.0,33.0,2.4,5.0,11.0,1985.0,11,7,3,1,0.6363636363636364,5.37,5.721282051282052,5.5403518771929825
3021,Joe Slick,72.0,199.0,74.23431665786835,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,1977.0,2,1,1,0,0.5,0.0,0.0,
3022,Patrick Smith,74.0,225.0,76.52930093402334,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,1963.0,5,4,1,0,0.8,0.0,0.0,
3024,Maurice Smith,74.0,221.0,76.4590152757164,Orthodox,0.41,46.0,0.47,60.0,0.89,50.0,20.0,0.9,12.0,13.0,1961.0,7,4,3,0,0.5714285714285714,0.8799999999999999,1.0329914529914528,1.88876504494382
3025,Scott Smith,72.0,185.0,70.0,Orthodox,1.9,27.0,5.87,50.0,0.12,6.0,58.0,0.5,5.0,21.0,1979.0,4,1,3,0,0.25,7.77,7.822991452991452,65.250001
3032,Trevor Smith,75.0,185.0,75.0,Orthodox,3.29,55.0,3.31,51.0,1.7,32.0,60.0,0.7,1.0,5.0,1981.0,12,5,7,0,0.4166666666666667,6.6,6.805128205128205,4.58235394117647
3033,Anthony Smith,76.0,205.0,76.0,Orthodox,2.94,46.0,4.38,42.0,0.49,28.0,51.0,0.7,7.0,26.0,1988.0,15,9,6,0,0.6,7.32,7.421709401709402,15.638776510204082
3034,Colton Smith,72.0,155.0,71.0,Orthodox,1.64,41.0,2.3,51.0,4.09,36.0,25.0,1.4,8.0,14.0,1987.0,4,1,3,0,0.25,3.9399999999999995,4.409230769230768,2.363326183374083
3036,Gilbert Smith,69.0,185.0,71.23112560805424,Southpaw,1.09,41.0,2.73,35.0,3.51,60.0,0.0,1.2,10.0,19.0,1981.0,1,0,1,0,0.0,3.8200000000000003,4.222564102564102,2.2883200883190886
3037,Devonte Smith,69.0,155.0,76.0,Orthodox,5.64,55.0,2.65,59.0,0.74,100.0,100.0,0.7,7.0,30.0,1993.0,4,3,1,0,0.75,8.29,8.413076923076922,11.9027037027027
3038,Leslie Smith,69.0,135.0,66.0,Orthodox,7.56,40.0,8.41,51.0,0.0,0.0,62.0,0.0,8.0,17.0,1982.0,7,4,3,0,0.5714285714285714,15.969999999999999,15.969999999999999,inf
